Place,God,Latitude,Longitude,Frequency,Sources
Fates,Apollo,43.9448946,18.7984389,1,Iliad
Stupid,Ares,-34.5606598,-58.4566245,1,Iliad
Periphas,Hera,48.2578221,-122.714437,1,Iliad
Achilles,Hephaestus,37.2801422,-76.4402257,9,Iliad
Hellespont,Hephaestus,52.4444374,13.4087955,1,Iliad
Fates,Hephaestus,43.9448946,18.7984389,1,Iliad
Clang,Hephaestus,23.0505788,113.3652699,1,Iliad
Ocean,Hephaestus,39.977818,-74.3319287,1,Iliad
Troy,Hermes,42.7284117,-73.6917878,1,Iliad
Latona,Hermes,47.4837565,-122.3014554,1,Iliad
Saturnia,Athena,42.6652237,11.5049888,1,Iliad
Lycaon,Apollo,33.9530321,-6.8959835,1,Iliad
Simois,Apollo,-34.6002391,-55.4639303,1,Iliad
Asia,Ares,51.2086975,89.2343748,1,Iliad
Lampus,Ares,49.4326786,15.3344666,1,Iliad
Hicetaon,Ares,,,1,Iliad
Capys,Ares,-14.8163612,-64.8813666,1,Iliad
Peleus,Athena,-77.474047,162.0771747,1,Iliad
Simois,Athena,-34.6002391,-55.4639303,1,Iliad
Dismiss’d,Apollo,,,1,Iliad
Jove,Athena,43.6851765,-7.5115144,1,Iliad
Achilles,Hades,37.2801422,-76.4402257,3,Iliad
Automedon,Hera,49.2567194,7.0411348,3,Iliad
remain’d.,Ares,53.5116594,9.9047155,1,Iliad
Jupiter,Hera,26.9342246,-80.0942087,1,Iliad
Paris,Apollo,48.8534951,2.3483915,2,Iliad
Mysia,Hera,52.2306073,21.0203915,1,Iliad
Hellespont,Hermes,52.4444374,13.4087955,1,Iliad
thou,Hermes,47.5790082,2.9076132,1,Iliad
Achilles,Hermes,37.2801422,-76.4402257,1,Iliad
Alcimus,Hera,40.805716,14.3478427,1,Iliad
Niobe,Apollo,42.0125559,-79.4494948,1,Iliad
Paris,Hephaestus,48.8534951,2.3483915,1,Iliad
Plutarch,Hera,37.8398124,-83.0879488,1,Iliad
Opp,Hera,31.2821209,-86.255839,1,Iliad
Xyland,Hera,,,1,Iliad
Troas,Apollo,46.0949315,22.2979167,1,Iliad
Thebe,Apollo,42.9657579,0.5902121,1,Iliad
Iliad,Apollo,31.2955678,77.1369731,1,Iliad
Minerva,Hera,-18.5223364,-136.3779317,1,Iliad
Clem,Hera,38.6342643,-80.914271,1,Iliad
Pollux,Hera,45.9278079,7.7853104,1,Iliad
Lexic,Hephaestus,,,1,Iliad
Hercules,Hephaestus,38.0171441,-122.2885808,1,Iliad
Greece,Hephaestus,38.9953683,21.9877132,2,Iliad
Aulis,Apollo,44.2167595,1.2838846,1,Iliad
sqq.,Ares,55.8925148,23.3950228,1,Iliad
Pagan,Zeus,21.1317111,94.8623644,1,Iliad
Jupiter,Zeus,26.9342246,-80.0942087,1,Iliad
Sarpedon,Ares,-44.585308,168.241981,2,Iliad
Heracles,Zeus,-11.9569279,-77.0820547,1,Iliad
sqq.,Hermes,55.8925148,23.3950228,1,Iliad
Fates,Hermes,43.9448946,18.7984389,1,Iliad
Iliad,Hephaestus,31.2955678,77.1369731,1,Iliad
Asia Minor,Hephaestus,39.0,32.0,1,Iliad
Ulysses,Apollo,37.5814095,-101.355169,1,Iliad
Iliad,Ares,31.2955678,77.1369731,1,Iliad
